kingdom,group,type,calendar_id,website,social,date_last_checked,location,lat,lng
Kingdom of Meridies,Shire of Vulpine Reach,shire,No Calendar Listed,https://vulpinereach.meridies.org/,,2026-06-22,"Chattanooga area including Cleveland, Ooltewah, Hixson, Fort Oglethorpe, Dalton, and the surrounding regions",33.545498,-86.557941
Kingdom of Meridies,Stronghold of Dragonfly Marsh,stronghold,No Calendar Listed,https://dragonfly.meridies.org,,2026-06-22,Valdosta,30.832702,-83.278485
Kingdom of Northshield,Barony of Caer Anterth Mawr,barony,https://calendar.google.com/calendar/ical/1f4sr2q35juop8o0pe418vag98%40group.calendar.google.com/public/basic.ics,https://caeranterth.org/,,2026-06-22,"Milwaukee, Wisconsin",43.038648,-87.909075
Kingdom of Northshield,Barony of Castel Rouge,barony,https://calendar.google.com/calendar/ical/castelrouge.contactus%40gmail.com/public/basic.ics,https://www.castelrouge.ca/about-us/,,2026-06-22,"Winnipeg, Manitoba, Canada",49.895537,-97.138458
Kingdom of Northshield,Barony of Jararvellir,barony,https://calendar.google.com/calendar/ical/9olfihed1ab2biu7pfq6k9qlvg%40group.calendar.google.com/public/basic.ics,https://jararvellir.org/,,2026-06-22,"Madison, Wisconsin",43.07469,-89.384166
Kingdom of Northshield,Barony of Nordskogen,barony,https://calendar.google.com/calendar/ical/e09qbl9al4rri70j89ervdrvs4%40group.calendar.google.com/public/basic.ics,https://nordskogen.org/,,2026-06-22,"Minneapolis, Minnesota",44.9773,-93.265469
Kingdom of Northshield,Barony of Windhaven,barony,https://calendar.google.com/calendar/ical/calendar.windhaven%40gmail.com/public/basic.ics,http://www.baronyofwindhaven.org/about2.html,,2026-06-22,"Appleton, Wisconsin",44.261397,-88.406974
Kingdom of Northshield,Canton of Coille Stoirmeil,canton,No Calendar Available,https://coillestoirmeil.org/,,2026-06-22,"Tomah, Wisconsin",43.978576,-90.504021
Kingdom of Northshield,Canton of Nordleigh,canton,No Calendar Available,https://sites.google.com/site/cantonofnordleigh,,2026-06-22,"Northfield, Minnesota",44.458204,-93.161159
Kingdom of Northshield,College of Svaty Sebesta,college,No Calendar Available,https://www.facebook.com/groups/svatysebesta/,,2026-06-22,"Brookings, South Dakota",44.311461,-96.79844
Kingdom of Northshield,Shire of Border Downs,shire,No Calendar Available,https://sca-northshield.org/borderdowns/,,2026-06-22,"Sioux Falls, South Dakota",43.547601,-96.729363
Kingdom of Northshield,Shire of Coldedernhale,shire,https://calendar.google.com/calendar/ical/coldedernhale%40gmail.com/public/basic.ics,https://pierresca.org/,,2026-06-22,"Pierre, South Dakota",44.368364,-100.351136
Kingdom of Northshield,Shire of Darkstone,shire,No Calendar Listed,https://www.facebook.com/groups/5417292308/,,2026-06-22,"Ashland, Wisconsin",46.206232,-90.680259
Kingdom of Northshield,Shire of Dreibrucken,shire,No Calendar Listed,https://www.facebook.com/events/795002805434048/?acontext=%7B%22action_history%22%3A%22null%22%7D&ref_source=newsfeed&ref_mechanism=feed_attachment,,2026-06-22,"Grand Forks, North Dakota",47.92521,-97.030632
Kingdom of Northshield,Shire of Falcon’s Keep,shire,No Calendar Listed,https://falconskeep.org/,,2026-06-22,"Stevens Point, Wisconsin",44.523447,-89.584446
Kingdom of Northshield,Shire of Inner Sea,shire,No Calendar Available,https://lerlysjordan.wixsite.com/innersea/home-1,,2026-06-22,"Duluth, Minnesota",46.783829,-92.105268
Kingdom of Northshield,Shire of Korsvag,shire,No Calendar Listed,https://paulk212.sg-host.com/,,2026-06-22,"Fargo, North Dakota",46.877229,-96.789821
Kingdom of Northshield,Shire of Mare Amethystinum,shire,No Calendar Available,https://mareamethystinum.carrd.co/,,2026-06-22,"Thunder Bay, Ontario, Canada",48.406414,-89.259796
Kingdom of Northshield,Shire of Midewinde,shire,No Calendar Listed,https://www.facebook.com/groups/midewinde/,,2026-06-22,"Minot, North Dakota",48.23251,-101.296273
Kingdom of Northshield,Shire of Rivenwood Tower,shire,https://calendar.google.com/calendar/ical/rivenwoodtower%40gmail.com/public/basic.ics,https://rivenwoodtower.org/,,2026-06-22,"Mankato, Minnesota",44.165853,-94.002801
Kingdom of Northshield,Shire of Rockhaven,shire,No Calendar Listed,https://racuza26.wixsite.com/rockhaven,,2026-06-22,"St. Cloud, Minnesota",45.561608,-94.1642
Kingdom of Northshield,Shire of Rokeclif,shire,No Calendar Listed,https://www.facebook.com/rokeclif/,,2026-06-22,"La Crosse, Wisconsin",43.812284,-91.251435
Kingdom of Northshield,Shire of Schattentor,shire,No Calendar Listed,https://www.facebook.com/p/Shire-of-Schattentor-SCA-100069287614633/,,2026-06-22,"Rapid City, South Dakota",44.080604,-103.228023
Kingdom of Northshield,Shire of Silfren Mere,shire,https://calendar.google.com/calendar/ical/calendar%40silfrenmere.org/public/basic.ics,https://silfrenmere.org/,,2026-06-22,"Rochester, Minnesota",44.023439,-92.463018
Kingdom of Northshield,Shire of Skerjastrond,shire,No Calendar Listed,https://paulk225.sg-host.com/,,2026-06-22,"Hancock, MI",47.1269,-88.581
Kingdom of Northshield,Shire of Trewint,shire,https://calendar.google.com/calendar/ical/aauhvdlm2rpngeghv219d0s4rk%40group.calendar.google.com/public/basic.ics,https://sites.google.com/view/trewint/home,,2026-06-22,"Aberdeen, South Dakota",45.464981,-98.487813
Kingdom of Northshield,Shire of Vilku Urvas,shire,No Calendar Listed,https://sca-northshield.org/vilkuurvas/,,2026-06-22,"Grand Rapids, Minnesota",47.237166,-93.530214
Kingdom of Trimaris,Barony of An Crosaire,barony,https://calendar.google.com/calendar/ical/webminister%40ancrosaire.org/public/basic.ics,https://www.ancrosaire.org/,,2026-06-22,Gainesville / Alachua County,29.651968,-82.324985
Kingdom of Trimaris,Barony of Castlemere,barony,https://calendar.google.com/calendar/ical/baronyofcastlemere%40gmail.com/public/basic.ics,https://www.castlemere.org/,,2026-06-22,Jacksonville / Orange Park,30.186817,-81.705541
Kingdom of Trimaris,Barony of Darkwater,barony,https://calendar.google.com/calendar/ical/webminister%40baronyofdarkwater.org/public/basic.ics,https://www.baronyofdarkwater.org/,,2026-06-22,"Orange, Osceola, Seminole, and Lake County",28.420708,-81.230096
Kingdom of Trimaris,Barony of Oldenfeld,barony,https://calendar.google.com/calendar/ical/oldenfeld%40gmail.com/public/basic.ics,https://www.oldenfeld.org/,,2026-06-22,"Tallahassee, Gadsden, Wakulla",30.370869,-84.496672
Kingdom of Trimaris,Canton Of Brymmestreme (An Crosaire),canton,Practices added manually,https://brymmestreme.ancrosaire.org/home,,2026-06-22,"Columbia, Hamilton, Madison and Suwannee Counties",30.366486,-82.801358
Kingdom of Trimaris,Canton of Amurgorod (An Crosaire),canton,No Calendar Listed,https://www.ocalasca.com/home,,2026-06-22,Levy & Marion County,29.300863,-82.782459
Kingdom of Trimaris,Shire of Sangre del Sol,shire,No Calendar Listed,,https://www.facebook.com/groups/sangre.del.sol/,2026-06-22,Broward County Florida,30.679978,-86.21886
Kingdom of Trimaris,Shire of Sea March,shire,No Calendar Listed,https://www.sea-march.com/,,2026-06-22,Palm Beach County,26.62798,-80.449417
Kingdom of Trimaris,Shire of Southkeep,shire,No Calendar Listed,https://southkeep.trimaris.org/,,2026-06-22,Miami-Dade County / Florida Keys,24.67362,-81.498179
Kingdom of Trimaris,Shire of Tri Os,shire,No Calendar Listed,https://trios.trimaris.org/,,2026-06-22,"Martin, St. Lucie, and Indian Counties",27.067371,-80.399441
Kingdom of Trimaris,Shire of Sudrholt,shire,https://calendar.google.com/calendar/ical/sudrholt.org_d1adj1c6repb9ls22u6jq3lqb4%40group.calendar.google.com/public/basic.ics,https://www.sudrholt.org/events,,,"Clay County, Florida",,
Kingdom of Trimaris,Barony of Marcaster,barony,https://calendar.google.com/calendar/ical/c_4536d12b6f9bfcd89abfce77744e5afc95ae8b8be6b463a48afb56f94bebc35c%40group.calendar.google.com/public/basic.ics,https://www.marcaster.com/,,,"Pinellas County, Florida",,
Kingdom of the East,Barony of An Dubhaigeainn,barony,https://calendar.google.com/calendar/ical/eastkingdom.org_lungjg3alv04p339umsj3og30s%40group.calendar.google.com/public/basic.ics,https://andub.eastkingdom.org,,2026-06-22,"Suffolk County, NY",40.883232,-72.857803
Kingdom of the East,Barony of Bergental,barony,No Calendar Available,https://bergental.eastkingdom.org,,2026-06-22,Western MA,42.378877,-72.032366
Kingdom of the East,Barony of Beyond the Mountain,barony,https://calendar.google.com/calendar/ical/f13a3vbvjqh123cb3c0e2s45mg%40group.calendar.google.com/public/basic.ics,https://bbm.eastkingdom.org,,2026-06-22,"Burlington, Connecticut, USA",41.769,-72.95778
Kingdom of the East,Barony of Bhakail,barony,https://calendar.google.com/calendar/ical/bhakailweb%40gmail.com/public/basic.ics,https://bhakail.eastkingdom.org,,2026-06-22,"Philadelphia, PA; Delaware and South Chester County, PA",40.011454,-75.13265
Kingdom of the East,Bailiwick of Ivyeinrust,college,https://calendar.google.com/calendar/ical/eastkingdom.org_b5nuhi5dqkiuttjhjmj8787h94%40group.calendar.google.com/public/basic.ics,https://ivyeinrust.eastkingdom.org/,,,University of Pennsylvania,39.95325,-75.19384
Kingdom of the East,Barony of Buckland Cross,barony,https://calendar.google.com/calendar/ical/c_d204a5ea77a7d6ac0a47ce4e1f825b662913c514fc623d003acb144139e88533%40group.calendar.google.com/public/basic.ics,https://bucklandcross.eastkingdom.org,,2026-06-22,"Southern Bucks County, PA",40.234412,-75.107
Kingdom of the East,Barony of Carillion,barony,https://calendar.google.com/calendar/ical/97326c1dd1bc2af8ce170557f0f7c8b40fb1c6ce5b342f479b9a92f48e20b6e2%40group.calendar.google.com/public/basic.ics,https://carillion.eastkingdom.org,,2026-06-22,"Monmouth, Ocean, S.Middlesex County, NJ",40.135525,-74.24952
Kingdom of the East,Barony of Carolingia,barony,https://www.google.com/calendar/ical/c_9f2bb029e0685a0401901930b9fe78acf41ca17773ea62c6bb701e5fe17694f7%40group.calendar.google.com/public/basic.ics,https://carolingia.eastkingdom.org,,2026-06-22,"Greater Boston, MA",42.383727,-71.074114
Kingdom of the East,Barony of Concordia of the Snows,barony,https://www.google.com/calendar/ical/ab1ck2oprvq27pcknmug57mhu0%40group.calendar.google.com/public/basic.ics,https://concordia.eastkingdom.org,,2026-06-22,"Albany, NY",42.651167,-73.754968
Kingdom of the East,Barony of Dragonship Haven,barony,https://www.google.com/calendar/ical/c_532d7ba214e09e0cfa6859eaa2535363fca6a18854266d9e0179ae3724075fd8%40group.calendar.google.com/public/basic.ics,https://dragonshiphaven.eastkingdom.org,,2026-06-22,Southwestern CT,41.513465,-73.465732
Kingdom of the East,Barony of Endewearde,barony,No Calendar Listed,https://endewearde.eastkingdom.org,,2026-06-22,Central and Northern Maine,44.801626,-68.771329
Kingdom of the East,Barony of Havre des Glaces,barony,No Calendar Listed,https://havredesglaces.eastkingdom.org,,2026-06-22,NE Quebec Province,41.795781,-72.678929
Kingdom of the East,Barony of Iron Bog,barony,No Calendar Listed,https://ironbog.eastkingdom.org,,2026-06-22,"Camden,Gloucester, S. Burlington, NJ",39.764101,-75.061045
Kingdom of the East,Barony of Ruantallan,barony,https://ruantallan.eastkingdom.org/?ical=1,https://ruantallan.eastkingdom.org,,2026-06-22,"NS & PEI, Canada",46.288542,-63.144594
Kingdom of the East,Barony of Settmour Swamp,barony,No Calendar Listed,https://settmourswamp.eastkingdom.org,,2026-06-22,"Somerset, Morris County, NJ",40.74074,-74.394867
Kingdom of the East,Barony of Smoking Rocks,barony,No Calendar Listed,https://smokingrocks.eastkingdom.org,,2026-06-22,Southeast MA,42.378877,-72.032366
Kingdom of the East,Barony of Stonemarche,barony,No Calendar Listed,https://stonemarche.eastkingdom.org,,2026-06-22,New Hampshire,43.484913,-71.655399
Kingdom of the East,Barony of the Bridge,barony,No Calendar Listed,https://baronyofthebridge.eastkingdom.org,,2026-06-22,RI State,40.760781,-73.950722
Kingdom of the East,Canton of Appleholm,canton,No Calendar Listed,https://appleholm.eastkingdom.org,,2026-06-22,"Manhattan, NYC",40.757955,-73.985532
Kingdom of the East,Canton of Basingestoches,canton,No Calendar Listed,https://basingestoches.eastkingdom.org/,,2026-06-22,Endewearde,,
Kingdom of the East,Canton of Brokenbridge,canton,https://www.google.com/calendar/ical/diii87giqlcb15a1sf66nbsnb0%40group.calendar.google.com/public/basic.ics,https://brokenbridge.eastkingdom.org,,2026-06-22,"Brooklyn, NY",40.652601,-73.949721
Kingdom of the East,Canton of Distant Shore,canton,No Calendar Listed,https://distantshore.eastkingdom.org,,2026-06-22,"NS, Canada",45.19604,-63.165379
Kingdom of the East,Canton of Gryphonwald,canton,No Calendar Listed,https://gryphonwald.eastkingdom.org,,2026-06-22,"Middlesex City, NJ",40.524708,-74.249162
Kingdom of the East,Canton of Hawke's Reache,canton,No Calendar Listed,https://hawkesreache.eastkingdom.org,,2026-06-22,"Western Suffolk County, NY",40.762587,-73.402044
Kingdom of the East,Canton of Lions End,canton,No Calendar Listed,https://lionsend.eastkingdom.org,,2026-06-22,"Nassau County, NY",40.735299,-73.561578
Kingdom of the East,Canton of Midland Vale,canton,No Calendar Listed,https://midlandvale.eastkingdom.org,,2026-06-22,"Sullivan and Orange Counties, NY",41.715631,-74.780432
Kingdom of the East,Canton of Northpass,canton,No Calendar Listed,https://northpass.eastkingdom.org,,2026-06-22,"Putnam & Westchester, NY",41.277271,-73.767177
Kingdom of the East,Canton of Old Stonebridges,canton,https://www.google.com/calendar/ical/eastkingdom.org_r65fh2dk7iqa9g6ueekk28uo54%40group.calendar.google.com/public/basic.ics,https://oldstonebridges.eastkingdom.org/,,2026-06-22,"Rockland County, NY",41.151932,-74.035727
Kingdom of the East,Canton of Seashire,canton,No Calendar Listed,https://seashire.eastkingdom.org,,2026-06-22,"Halifax, NS",44.648618,-63.585949
Kingdom of the East,Canton of Ynys y Gwaun,canton,No Calendar Listed,https://ynysygwaun.eastkingdom.org,,2026-06-22,"PEI, Canada",46.335551,-63.146668
Kingdom of the East,Canton of the Towers,canton,No Calendar Listed,https://towers.eastkingdom.org/,,2026-06-22,Northeast MA,42.378877,-72.032366
Kingdom of the East,Crown Principality of Tir Mara Website Shire of Ar n-Eilean-ne,crown principality,No Calendar Listed,,,2026-06-22,"Newfoundland and Labrador, Canada",53.821733,-61.229553
Kingdom of the East,Province of Malagentia,province,No Calendar Listed,https://malagentia.eastkingdom.org,,2026-06-22,"Southern, ME",43.683271,-70.449683
Kingdom of the East,Province of Østgarðr,province,No Calendar Listed,,,2026-06-22,"Greater NYC, Westchester, and Putnam Counties NY",41.176314,-73.790755
Kingdom of the East,Riding of Giggleswick,riding,No Calendar Listed,https://giggleswick.eastkingdom.org,,2026-06-22,"Southern York County, Maine",43.457305,-70.780649
Kingdom of the East,Riding of Ravensbridge,riding,No Calendar Listed,https://ravensbridge.eastkingdom.org,,2026-06-22,"Augusta, Lewiston, and Auburn ME",44.314803,-69.774394
Kingdom of the East,Shire of Anglespur,shire,No Calendar Listed,https://anglespur.eastkingdom.org,,2026-06-22,"Troy, NY",42.728412,-73.691788
Kingdom of the East,Shire of Avonmore,shire,No Calendar Listed,https://avonmore.eastkingdom.org,,2026-06-22,"New Brunswick, Canada",46.500283,-66.750183
Kingdom of the East,Shire of Barren Sands,shire,No Calendar Listed,https://barrensands.eastkingdom.org,,2026-06-22,"Atlantic, Cape May, Cumberland, Salem County, NJ",39.3364,-74.875608
Kingdom of the East,Shire of Blak Rose,shire,No Calendar Listed,https://blakrose.eastkingdom.org,,2026-06-22,"Camp Hill and Harrisburg, PA",40.24218,-76.900259
Kingdom of the East,Shire of Caer Adamant,shire,https://calendar.google.com/calendar/ical/webcaeradamant%40gmail.com/public/basic.ics,https://caer-adamant.eastkingdom.org,,2026-06-22,State of Delaware,39.158168,-75.524368
Kingdom of the East,Shire of Coill Tuar,shire,No Calendar Listed,https://coilltuar.eastkingdom.org,,2026-06-22,"Southern Ulster County, NY",41.716041,-73.963443
Kingdom of the East,Shire of Coldwood,shire,No Calendar Listed,https://coldwood.eastkingdom.org,,2026-06-22,"Plattsburgh, NY",44.696086,-73.454291
Kingdom of the East,Shire of Eisental,shire,https://www.eisental.eastkingdom.org/feed/eo-events,https://www.eisental.eastkingdom.org,,2026-06-22,"Allentown, Bethlehem, Easton & Reading, PA",40.602255,-75.471611
Kingdom of the East,Shire of Glenn Linn,shire,No Calendar Listed,https://glennlinn.eastkingdom.org,,2026-06-22,"Warren-Washington County, NY",43.402563,-73.584187
Kingdom of the East,Shire of Hadchester,shire,No Calendar Listed,https://hadchester.eastkingdom.org/,,2026-06-22,Mid-coast Maine,43.906566,-69.893015
Kingdom of the East,Shire of Hartshorn-dale,shire,No Calendar Listed,http://hartshorn-dale.eastkingdom.org,,2026-06-22,"Chester-Montgomery,PA",40.143911,-75.511025
Kingdom of the East,Shire of Lyndhaven,shire,No Calendar Listed,https://lyndhaven.eastkingdom.org,,2026-06-22,New Brunswick,46.500283,-66.750183
Kingdom of the East,Shire of Montevale,shire,No Calendar Listed,https://montevale.eastkingdom.org,,2026-06-22,"Fulton, Franklin, Cumberland, PA",39.998686,-77.719636
Kingdom of the East,Shire of Mountain Freehold,shire,No Calendar Listed,https://mountainfreehold.eastkingdom.org,,2026-06-22,Northwestern Vermont,44.807919,-73.071627
Kingdom of the East,Shire of Nordenhalle,shire,No Calendar Listed,https://nordenhal.eastkingdom.org,,2026-06-22,"Kingston, NY",41.928781,-74.002382
Kingdom of the East,Shire of Northern Outpost,shire,No Calendar Listed,https://northernoutpost.eastkingdom.org,,2026-06-22,"Potsdam, NY",44.6698,-74.981335
Kingdom of the East,Shire of Owlsherst,shire,https://www.google.com/calendar/ical/c_msaukb1eicop7tulld2idjg1m4%40group.calendar.google.com/public/basic.ics,https://owlsherst.eastkingdom.org,,2026-06-22,"York, Lancaster, and eastern portions of Adams Counties, PA Crown",40.027105,-76.491813
Kingdom of the East,Shire of Panther Vale,shire,No Calendar Listed,https://panthervale.eastkingdom.org,,2026-06-22,Northeastern Vermont,44.445887,-72.009973
Kingdom of the East,Shire of Quintavia,shire,https://www.google.com/calendar/ical/013sn8fvdtsbvs6f12ngnkhtbs%40group.calendar.google.com/public/basic.ics,https://quintavia.eastkingdom.org,,2026-06-22,"Worcester County, MA",42.370578,-71.867724
Kingdom of the East,Shire of Rusted Woodlands,shire,No Calendar Listed,https://rustedwoodlands.eastkingdom.org,,2026-06-22,"Bergen, Sussex, Passaic County, NJ",41.050603,-74.374682
Kingdom of the Middle,Barony of Andelcrag,barony,No Calendar Available,https://andelcrag.midrealm.org/,,2026-06-22,"Grand Rapids, Michigan",42.963242,-85.667864
Kingdom of the Middle,Barony of Ayreton,barony,No Calendar Listed,https://ayreton.midrealm.org/,,2026-06-22,"Chicago, Illinois",41.875562,-87.624421
Kingdom of the Middle,Barony of Brendoken,barony,https://calendar.google.com/calendar/ical/brendoken.socialmedia%40midrealm.org/public/basic.ics,https://www.brendoken.org/,,2026-06-22,"Akron, Ohio",41.083064,-81.518485
Kingdom of the Middle,Barony of Carraig Ban,barony,https://calendar.google.com/calendar/ical/carraigban.baron%40midrealm.org/public/basic.ics,https://carraigban.midrealm.org/,,2026-06-22,"DeKalb, Illinois",41.890345,-88.771395
Kingdom of the Middle,Barony of Cynnabar,barony,No Calendar Available,https://cynnabar.midrealm.org/,,2026-06-22,"Ann Arbor, Michigan",42.281372,-83.748462
Kingdom of the Middle,Barony of Fenix,barony,No Calendar Available,https://fenix.midrealm.org/,,2026-06-22,"Cincinnati, Ohio",39.101281,-84.512741
Kingdom of the Middle,Barony of Flaming Gryphon,barony,No Calendar Available,https://www.facebook.com/BaronyofFlamingG/,https://www.facebook.com/groups/TheGryphon/,2026-06-22,"Dayton, Ohio",39.758948,-84.191607
Kingdom of the Middle,Barony of Illiton,barony,https://calendar.google.com/calendar/ical/illiton.webminister%40midrealm.org/public/basic.ics,https://illiton.midrealm.org/,,2026-06-22,"Peoria, Illinois",40.693861,-89.589101
Kingdom of the Middle,Barony of North Woods,barony,No Calendar Available,https://northwoods.midrealm.org/,,2026-06-22,"Lansing, Michigan",42.733825,-84.55463
Kingdom of the Middle,Barony of Red Spears,barony,No Calendar Available,https://redspears.midrealm.org/calendar/,,2026-06-22,"Toledo, Ohio",41.652914,-83.537817
Kingdom of the Middle,Barony of Rivenstar,barony,No Calendar Listed,https://rivenstar.midrealm.org/,,2026-06-22,"Lafayette, Indiana",40.419123,-86.891901
Kingdom of the Middle,Barony of Roaring Wastes,barony,No Calendar Listed,https://roaringwastes.org/baronial-calendar-of-events/,,2026-06-22,"Detroit, Michigan",42.331551,-83.04664
Kingdom of the Middle,Barony of Shattered Crystal,barony,No Calendar Available,https://shatteredcrystal.midrealm.org/calendar/,,2026-06-22,"Belleville, Illinois",38.513581,-89.984163
Kingdom of the Middle,Barony of Sternfeld,barony,https://calendar.google.com/calendar/ical/sternfeld.org_a7ne6gf7q9jfrcov5ieev68o5g%40group.calendar.google.com/public/basic.ics,https://sternfeld.midrealm.org/,,2026-06-22,"Indianapolis, Indiana",39.768333,-86.15835
Kingdom of the Middle,Barony of the Cleftlands,barony,No Calendar Available,https://events.cleftlands.org/,,2026-06-22,"Cleveland, Ohio",41.499657,-81.693677
Kingdom of the Middle,Barony of the Flame,barony,https://calendar.google.com/calendar/ical/baronyoftheflame%40gmail.com/public/basic.ics,https://baronyoftheflame.org/,,2026-06-22,"Louisville, Kentucky",38.254238,-85.759407
Kingdom of the Middle,Barony of the Middle Marches,barony,Practices added manually,https://middlemarches.midrealm.org/,https://www.facebook.com/groups/middlemarches/,,Central Ohio,40.1267,-82.9319
Kingdom of the Middle,Canton of Ealdnordwuda,canton,No Calendar Available,https://ealdnordwuda.midrealm.org/,,2026-06-22,"East Lansing, Michigan",42.732031,-84.472168
Kingdom of the Middle,Canton of Hrothgeirsfjordr,canton,No Calendar Listed,https://hrodgeirsfjordr.midrealm.org/,,2026-06-22,"Toledo, Ohio",41.652914,-83.537817
Kingdom of the Middle,Canton of Pferdestadt,canton,No Calendar Listed,https://pferdestadt.midrealm.org/,https://www.facebook.com/groups/177617509247698,2026-06-22,"Delaware, Ohio",40.231769,-82.965104
Kingdom of the Middle,Canton of Rimsholt,canton,No Calendar Available,https://rimsholt.midrealm.org/,,2026-06-22,"Grand Rapids, Michigan",42.963242,-85.667864
Kingdom of the Middle,Canton of Vanished Wood,canton,No Calendar Available,https://vanishedwood.midrealm.org/,,2026-06-22,"Chicago, Illinois",41.875562,-87.624421
Kingdom of the Middle,Canton of Tree-Girt-Sea,province,No Calendar Available,https://treegirtsea.midrealm.org/,,2026-06-22,"Chicago, Illinois",41.875562,-87.624421
Kingdom of the Middle,Riding of Hawkland Moor,riding,No Calendar Available,https://hawklandmoor.midrealm.org/,,2026-06-22,"Rochester Hills, Michigan",42.658366,-83.149932
Kingdom of the Middle,Shire of Dark River,shire,No Calendar Listed,https://darkriver.midrealm.org/,,2026-06-22,"Moline, Illinois",41.505834,-90.513664
Kingdom of the Middle,Shire of Dernehealde,shire,No Calendar Listed,https://dernehealde.midrealm.org/,,2026-06-22,"Athens, Ohio",39.324178,-82.101565
Kingdom of the Middle,Shire of Donnershafen,shire,No Calendar Listed,https://www.midrealm.org/,,2026-06-22,"Traverse City, Michigan",44.760648,-85.616598
Kingdom of the Middle,Shire of Dragonsmark,shire,No Calendar Listed,https://dragonsmark.midrealm.org/,,2026-06-22,"Lexington, Kentucky",38.046407,-84.497039
Kingdom of the Middle,Shire of Falcon's Quarry,shire,No Calendar Listed,https://www.midrealm.org/,,2026-06-22,"Elyria, Ohio",41.367319,-82.107358
Kingdom of the Middle,Shire of Lochmorrow,shire,No Calendar Listed,https://www.midrealm.org/,,2026-06-22,"Peoria, Illinois",40.693861,-89.589101
Kingdom of the Middle,Shire of Mugmort,shire,No Calendar Listed,https://mugmort.midrealm.org/,,2026-06-22,"Lancaster, Ohio",39.713675,-82.599329
Kingdom of the Middle,Shire of Mynydd Seren,shire,No Calendar Listed,https://www.midrealm.org/,,2026-06-22,"Bloomington, Indiana",39.16704,-86.534288
Kingdom of the Middle,Shire of Narrental,shire,No Calendar Listed,https://narrental.midrealm.org/,,2026-06-22,"Logansport, Indiana",40.754238,-86.362519
Kingdom of the Middle,Shire of Ravenslake,shire,No Calendar Listed,https://ravenslake.org/,,2026-06-22,"Crystal Lake, Illinois",42.241134,-88.316197
Kingdom of the Middle,Shire of Rivenvale,shire,https://calendar.google.com/calendar/ical/k2dnert6nh5067snq5h57e8vm4%40group.calendar.google.com/public/basic.ics,https://rivenvale.org/,,2026-06-22,"Youngstown, Ohio",41.103579,-80.652016
Kingdom of the Middle,Shire of Rokkehealden,shire,No Calendar Listed,https://rokkehealden.midrealm.org/,,2026-06-22,"Chicago, Illinois",41.875562,-87.624421
Kingdom of the Middle,Barony of Shadowed Stars,barony,https://calendar.google.com/calendar/ical/c_393f54bd20f4bf28a35be583eb88a317afe5418d277d25f296b2ca4327446e50%40group.calendar.google.com/public/basic.ics,https://shadowedstars.midrealm.org/,,2026-06-22,"Fort Wayne, Indiana",41.07999,-85.138601
Kingdom of the Middle,Shire of Swordcliff,shire,No Calendar Available,https://swordcliff.midrealm.org/,,2026-06-22,"Springfield, Illinois",39.799017,-89.643957
Kingdom of the Middle,Marche of Tirnewydd,shire,No Calendar Available,https://tirnewydd.midrealm.org/,,2026-06-22,"Columbus, OH",39.96226,-83.000707
Kingdom of the Middle,Shire of Caer Gwyn,shire,https://calendar.google.com/calendar/embed?src=6qvfu9tj2q4evup4eevh9pj90s%40group.calendar.google.com&ctz=America%2FChicago ,https://caergwyn.midrealm.org/,,,"Urbana-Champaign, IL",40.113159,-88.211105
Kingdom of the Outlands,Barony of Aarquelle,barony,https://www.google.com/calendar/ical/aarquelle%40gmail.com/public/basic.ics,https://aarquelle.outlands.org,,2026-06-22,"Pueblo, CO",38.263995,-104.614187
Kingdom of the Outlands,Barony of Caer Galen,barony,https://calendar.google.com/calendar/ical/caergalen.org_9ligefbmldnohvbm86fmththt0%40group.calendar.google.com/public/basic.ics,https://caergalen.outlands.org,,2026-06-22,"Boulder, CO",40.014986,-105.270545
Kingdom of the Outlands,Barony of Caerthe,barony,https://calendar.google.com/calendar/ical/caerthe-sca.org_3gm1rj15ppu5i5jlebl8742pig%40group.calendar.google.com/public/basic.ics,https://caerthe.outlands.org,,2026-06-22,"Denver, CO",39.739236,-104.984862
Kingdom of the Outlands,Barony of Dragonsspine,barony,https://calendar.google.com/calendar/ical/s3no443j3h09b97u4kns5mdasg%40group.calendar.google.com/public/basic.ics,https://dragonsspine.outlands.org,,2026-06-22,"Colorado Springs, CO",38.833958,-104.825348
Kingdom of the Outlands,Barony of Unser Hafen,barony,https://calendar.google.com/calendar/ical/5pb6cnjq95h42r903klmf27sqk%40group.calendar.google.com/public/basic.ics,https://unserhafen.outlands.org,,2026-06-22,"Fort Collins, CO",40.587178,-105.077011
Kingdom of the Outlands,Barony of al-Barran,barony,Practices added manually,https://al-barran.outlands.org/,,2026-06-22,"Albuquerque, NM",35.084103,-106.650985
Kingdom of the Outlands,College of Blaiddwyn,college,No Calendar Listed,https://blaiddwyn.unm.edu/,,2026-06-22,"UNM, Albuquerque, NM",35.086633,-106.620209
Kingdom of the Outlands,College of St. Golias,college,No Calendar Listed,http://www.saintgolias.outlands.org/,,2026-06-22,"Socorro, NM",34.057286,-106.89308
Kingdom of the Outlands,Shire of Bryngolau,shire,No Calendar Listed,https://bryngolau.outlands.org,,2026-06-22,"Los Alamos & Espanola, NM",35.984931,-106.080661
Kingdom of the Outlands,Shire of Draca Mor,shire,No Calendar Listed,https://dracamor.outlands.org,,2026-06-22,"Grand Junction, CO",39.067257,-108.56448
